,Date,News,Label
49,16-Oct-17,Gates Foundation to Use Ripple Interledger Tech in Mobile Payments Push,0
50,31-Oct-17,Derivatives Giant CME Group to Launch Bitcoin Futures Contract,1
51,31-Oct-17,Last Laugh? Dilbert Creator Scott Adams Talks Plans for Token Launch,0
52,24-Oct-17,Blockchain Startup Chain Launches Balance Management Cloud Service,0
53,24-Oct-17,HHS Architect Talks Blockchain's Potential Role in Healthcare Administration,0
54,24-Oct-17,Intel Partners With Ledger to Integrate Bitcoin Wallet Software and SGX Tech,0
55,24-Oct-17,Overstock to Release Blockchain Product to Curb Naked Short Sales,1
56,24-Oct-17,Jeff Garzik Startup Bloq to Launch Cross-Blockchain Cryptocurrency,0
57,24-Oct-17,Bitcoin Gold Initiates Hard Fork Split to Create New Cryptocurrency,1
58,23-Oct-17,Bitcoin Gold: What to Know About the Blockchain's Next Split,1
59,23-Oct-17,Saudi Prince Al-Waleed: Bitcoin Is 'Going to Implode',0
60,23-Oct-17,Canada Court Holds ICO Organizer in Contempt,0
61,2-Nov-17,US Government Arrests and Charges Alleged ICO Fraudster,0
62,2-Nov-17,'A Modest Proposal': Vitalik Unveils Multi-Year Vision for Ethereum,1
63,2-Nov-17,Cornell Professor Claims Blockchain Advances with Thunder Token Debut,1
64,26-Oct-17,"Highs on the Radar? Bitcoin Retakes $5,800 as Prices Edge Up",1
65,26-Oct-17,Pantera Leads $5 Million Investment in Video Streaming Token Pre-Sale,1
66,26-Oct-17,Templum Raises $2.7 Million in Bid to Launch Regulated Token Trading System,1
67,26-Oct-17,UK Asset Manager Adds Support for Ethereum Exchange-Traded Product,0
68,26-Oct-17,Blockchain Journalism Platform Civil Receives $5 Million in Funding,1
69,26-Oct-17,Singapore Central Bank Chief: No Regulation for Cryptocurrencies,0
70,19-Oct-17,"Blockchain Forks Are All the Rage, But Can They Ever Be Safe?",0
71,18-Oct-17,Regional Regulators in North America Are 'Closely Watching' ICOs,0
72,18-Oct-17,Bank of Canada Announces Phase 3 of 'Project Jasper' DLT Trial,1
73,25-Oct-17,City of Tokyo Announces Blockchain Startup Accelerator,1
74,25-Oct-17,Room for More? Bitcoin Cash Defends $300 Amid Competition,1
75,23-Oct-17,Blockchain for Inclusion? Gates Foundation Strikes Tepid Tone at Money2020,0
76,23-Oct-17,"Prepping for a Pullback? Bitcoin Price Drops Below $6,000",1
77,23-Oct-17,Abu Dhabi Admits 4 Blockchain Startups to Fintech Sandbox,1
78,23-Oct-17,American Express Eyes Blockchain for Customer Rewards System,0
79,23-Oct-17,R3 Files Patents for 'Dynamic' DLT Recordkeeping,1
80,23-Oct-17,Thinking Big? Bank Blockchains Will Advance By Doing Anything But,1
81,23-Oct-17,UK Regulator: DLT Startups Are Being Denied Banking Services,0
82,22-Oct-17,To the Moon – Or Bust? Questions to Ask When Evaluating ICOs,0
83,18-Oct-17,Global Blockchain Business Council Expands European Foothold,1
84,18-Oct-17,What Comes After the Crypto Bubble?,0
85,18-Oct-17,Russia's Largest Bank Joins Enterprise Ethereum Alliance,0
86,17-Oct-17,'Red Lyra' No More: Bank Blockchain Group Rebrands,1
87,20-Oct-17,Cisco Seeks to Protect Blockchain System for IoT Device Tracking,0
88,20-Oct-17,Microsoft CEO Challenges Swift: Build 'Useful' Blockchain Applications,0
89,19-Oct-17,Blockchain Startup Sun Exchange Raises $1.6 Million in New Seed Funding,0
90,24-Oct-17,BitGo to Use Civic ID Service for Royal Mint's Digital Gold Trial,0
91,24-Oct-17,Lawsky: ICO Fever Could Bring Cryptocurrency Backlash,0
92,24-Oct-17,Vladimir Putin Mandates New Rules for Cryptocurrencies and ICOs,1
93,24-Oct-17,Bitcoin Price Falls to 5-Day Low Following Fork Currency Creation,1
94,24-Oct-17,Bitcoin Gold Website Down Following DDoS Attack,1
95,24-Oct-17,"Hyperledger Blockchain Consortium Adds Bosch, Wipro and More as New Members",1
96,24-Oct-17,Perks of a Follower? HKEX Seeks Second-Mover Advantage on Blockchain,0
97,29-Oct-17,The Basics on FACTS: A New Model for Compliant ICOs,0
98,28-Oct-17,Where to Trade Bitcoin? Brokerage Apps Move In Amid Market Boom,1
99,28-Oct-17,Desperately Seeking Devs: How to Fill Bitcoin's Talent Shortage,0
100,27-Oct-17,Japan's SBI Holdings Is Gearing Up to Mine Bitcoin,1
101,27-Oct-17,UK Treasury: Cryptocurrencies Pose Low Terrorist Financing Risk,0
102,27-Oct-17,Verisign Explores Blockchain for Domain Security System,1
103,27-Oct-17,"Diverse Team, Diverse Portfolio: Amentum Raising $10 Million Crypto Fund",0
104,27-Oct-17,GMO ICO? Bitcoin-Friendly IT Firm Announces Token Sale,1
105,27-Oct-17,Kansas Commission: Political Candidates Cannot Accept Bitcoin,1
106,26-Oct-17,Multicoin Capital Plans $100 Million Raise for New Blockchain Investment Fund,1
107,26-Oct-17,Turkeycoin? Food Giant Cargill Launches Blockchain Tracking Pilot,0
108,26-Oct-17,"'Full Steam Ahead' for Segwit2x, Developer Jeff Garzik Says",0
109,26-Oct-17,'A Real Bubble': Billionaire Warren Buffett Doubles Down on Bitcoin Doubt,0
110,31-Oct-17,Bitcoin Cash Rally Stalls as Traders Price in Possible Fork,1
111,31-Oct-17,Not a Consortium: Banks Form For-Profit Entity for Blockchain Supply Chain,1
112,31-Oct-17,US Government Research Lab Eyes Blockchain in Energy Data Tests,0
113,31-Oct-17,IC3 Blockchain Initiative Expands Research Team to Europe,1
114,31-Oct-17,R3 Unveils Cross-Border Payments Platform Built on Corda DLT Tech,0
115,31-Oct-17,Bitcoin Cash Developers Propose Date for November Hard Fork,1
116,31-Oct-17,Devcon3 Preview: 6 Talks to Watch At Ethereum's Developer Summit,1
117,30-Oct-17,Meet Earn.com: 21 Rebrands Social Network In Shift Away from Bitcoin,0
118,30-Oct-17,EU Government Pegs Blockchain as Beneficiary of €30 Billion Research Fund,0
119,30-Oct-17,Australian Central Bank: Regulating Blockchain Protocols 'Unlikely to Be Effective',1
120,30-Oct-17,"More Blockchain Pilots Needed, Says US Treasury Official",0
121,30-Oct-17,Arkansas Sheriff's Office Mines Bitcoin to Fuel Dark Web Investigations,0
122,30-Oct-17,Boston Fed VP: DLT Could 'Fundamentally Change' Financial Industry,1
123,30-Oct-17,The Last Hurdle: Liquidity Alliance Closes in on Distributed Ledger Launch,1
124,30-Oct-17,Making Noise: Bitcoin Price Looks Higher as Global Volumes Grow,1
125,30-Oct-17,Veteran Observer Tech Reporter Joins CoinDesk Editorial Team,0
126,30-Oct-17,Japanese Financial Watchdog Issues Warning over ICO Risks,0
127,23-Oct-17,Ether Price Hits One-Month Low Below $280,0
128,23-Oct-17,Mark Cuban-Backed Unikrn Raises $31 Million in E-Sports Token Sale,1
129,23-Oct-17,Upside Ahead? Stellar Rally Fizzles But Lumen Could Regain Luster,0
130,23-Oct-17,Bitcoin Exchange Operator Given 16-Month Prison Sentence,1
131,1-Nov-17,SEC: Celebrity ICO Endorsements Could Be Illegal,0
132,1-Nov-17,New Zealand Regulator: Cryptocurrencies Are Securities,0
133,1-Nov-17,"Bitcoin's Price Climbs Above $6,600 to Reach New Market High",0
134,26-Oct-17,Did Ethereum ICO? Founder Joe Lubin Gives Uncertain Answer,1
135,26-Oct-17,CDC to Trial Blockchain With IBM in Bid to Manage Medical Data,1
136,26-Oct-17,What's the Price of Bitcoin Gold? Crypto Traders Still Aren't Sure,1
137,25-Oct-17,RAND Report: Timing Essential for Blockchain Standards,1
138,20-Oct-17,100 Diplomas: MIT Issues Graduate Certificates on a Blockchain App,0
139,20-Oct-17,ECB President: Bitcoin Not 'Mature' Enough to Be Regulated,1
140,20-Oct-17,Every Asset Ever: Circle Pulls 'Trigger' on Investment Product Pipeline,0
141,20-Oct-17,Ether Prices Hold Above $300 as Fork Fears Fade,0
142,20-Oct-17,Vote for CoinDesk's Most Influential People in Blockchain 2017,0
143,20-Oct-17,DTCC Milestone: $11 Trillion in Derivatives Gets Closer to the Blockchain,0
144,20-Oct-17,Russia's Government to Test Blockchain Land Registry System,0
145,18-Oct-17,Australian Senate Panel Throws Support Behind Crypto Exchange Bill,0
146,25-Oct-17,App Maker Kakao Begins Beta Testing New Cryptocurrency Exchange,0
147,25-Oct-17,"Hong Kong, Singapore to Collaborate on DLT Trade Finance Platform",1
148,25-Oct-17,"Back Above $5,500: Bitcoin Shrugs Off Fork with Price Rebound",1
149,25-Oct-17,SPECTRE Creators Seek VC Backing for Blockchain-Free Cryptocurrency,0
150,25-Oct-17,"NYU's 'Dean of Valuations' Says Bitcoin Is a Currency, Not an Asset",0
151,25-Oct-17,Making Boring Sexy: NSD Sees Booming Interest for Blockchain Bonds,0
152,25-Oct-17,Fraudsters Post Fake Poloniex Cryptocurrency Trading Apps to Google Store,0
153,17-Oct-17,Broadridge Pilots Blockchain for Repo Trades With French Banks,0
154,17-Oct-17,UBS Tells Clients How to Place Bets on Blockchain Tech,0
155,17-Oct-17,Web Creator Tim Berners-Lee: Blockchain Builders Should Beware Misuse,0
156,17-Oct-17,Brazil Central Bank Chief Compares Bitcoin to Pyramid Scheme,0
157,17-Oct-17,CFTC Aligns With SEC: ICO Tokens Can Be Commodities,0
158,17-Oct-17,Swiss City of Zug Backs Blockchain Asset Trade Group,1
159,19-Mar-17,Charts: How Bitcoin's Market Dominance is Being Challenged,1
160,19-Mar-17,Scaling Consensus? This Turing Winner Thinks He's Found a Way,0
161,18-Mar-17,"After ETF Rejection, What's Next for Bitcoin On Wall Street?",1
162,18-Mar-17,The Ultimate List of ICO Resources,0
163,10-Feb-16,Have We Reached Peak Blockchain Hype?,1
164,10-Feb-16,21 Inc Launches Bitcoin Transaction Fee Prediction App,1
165,10-Feb-16,Compliance Expert Juan Llanos Joins Blockchain Analytics Firm,0
166,26-Oct-17,Low Volume Lift? Litecoin Prices Rise But Big Leaps Unlikely,0
167,26-Oct-17,Peter Thiel: Bitcoin Is Like A 'Reserve Form Of Money',1
168,18-Jun-15,Judge Rules in Peer-to-Peer Bitcoin Lending Lawsuit,1
169,18-Jun-15,GAW Miners Absent in Ongoing Mississippi Court Case,1
170,18-Jun-15,Is Greece Really Behind Bitcoin's Latest Price Surge?,0
171,30-Oct-17,Bitcoin or Bitcoin2x? News & Guides to Navigate November's Fork,1
172,30-Oct-17,Russian Bank VEB Turns to Blockchain for E-Procurement Project,1
173,30-Oct-17,Show of Force: Ethereum Gears Up for Devcon3 Developer Conference,0
174,30-Oct-17,Sony Seeks Blockchain Patent for User Authentication System,0
175,30-Oct-17,BTC to DLT: Why Aren't Banks Giving Blockchain Startups Accounts?,0
176,30-Oct-17,Politician Ron Paul: US Government Should 'Stay Out' of Bitcoin,1
177,29-Jun-15,Mining Malware Developer Settles with Federal Trade Commission,0
178,29-Jun-15,Kraken Opens Bitcoin Exchange in Canada,1
179,1-Nov-17,Split or No Split? Bitcoin Miners See No Certainty in Segwit2x Fork,1
180,1-Nov-17,Amazon Subsidiary Registers Cryptocurrency and Ethereum Domains,1
181,1-Nov-17,Bitcoin Gold Team Touts Safety Update Ahead of Coin Release,1
182,1-Nov-17,"Bright Futures: Bitcoin Climbs on CME News, But Is $7,000 in Sight?",0
183,1-Nov-17,Bitcoin 'Battle'? Core Developers Apathetic as Segwit2x Fork Approaches,1
184,1-Nov-17,"Bitcoin Price Hits New High Above $6,500",1
185,9-Jul-15,Bitcoin's Best Funded Miner BitFury Raises Another $20 Million,1
186,18-Oct-17,In 'Search' of a Swell? XRP Prices Rise and Fall Amid Ripple Event,1
187,18-Oct-17,Enterprise Ethereum Alliance Adds 48 New Members,1
188,18-Oct-17,Blockchain KYC Startup Raises $1.6 Million in Seed Funding,1
189,18-Oct-17,"Healthy Pullback? Bitcoin Price Dips Back Below $5,300",1
190,18-Oct-17,Upgrade Complete? Ethereum's New Software Isn't Quite Stable Yet,0
191,18-Oct-17,Algorithmic Trading Platform Integrates GDAX Exchange API,0
192,18-Oct-17,AlphaPoint to Secure Blockchain Assets with Intel's SGX Tech,0
193,25-Oct-17,Ontario Securities Regulator Approves TokenFunder ICO,0
194,22-Oct-17,Dilbert Comics Mock Blockchain Mania,1
195,21-Oct-17,"Macroeconomics, Gambling and Crypto: A Perfect Storm?",0
196,21-Oct-17,Money at Risk? Mobile Wallets Become Battleground in Bitcoin Fork Debate,1
197,20-Oct-17,LedgerX Trades $1 Million in Bitcoin Derivatives in First Week,1
198,18-Mar-17,"Bitcoin Sinks $100 As Price Nears $1,000",1
199,18-Mar-17,Which Majority? Bitcoin Exchange Accord Reveals Hard Fork Dilemma,0
200,17-Mar-17,Report: Chinese Regulators Discuss Draft Rules With Bitcoin Exchanges,1
201,19-Oct-17,Is Blockchain Worth the Trouble? Blythe Masters (and More) Say Yes at Sibos,1
202,9-Feb-16,Financial Stability Board Seeks 'Better Understanding' of Blockchain Tech,0
203,28-Oct-17,Worse Than Tulip Mania? Common Misconceptions About Crypto Assets,0
204,27-Oct-17,Michigan Man Charged for Unlawful Bitcoin Exchange,0
205,27-Oct-17,SEC Enforcement Director: ICO Fraud Requires 'Thoughtful Approach',0
206,27-Oct-17,UBS CEO: Blockchain to Play 'Big Role' in Reshaping Industry,0
207,27-Oct-17,Lebanon's Central Bank Governor Disses Bitcoin at Digital Currency Launch,1
208,27-Oct-17,US Logistics Agency Launches Blockchain Sector Mapping Tool,0
209,27-Oct-17,Stuck in Limbo? Bitcoin Cash Price Clocks 9-Day High,1
210,18-Jun-15,Bitcoin Hardware Wallet 'Case' Raises $1.25 Million,1
211,18-Jun-15,Polish Exchanges Lose Payment Processors in Bitcoin Crackdown,0
212,18-Jun-15,Consensus 2015: Santander Innovation Director to Discuss Blockchain Tech,0
213,18-Jun-15,CoinBR Acquires Coinverse in Latest Exchange Merger,1
214,18-Jun-15,Elliptic Launches Bitcoin Blockchain Visualization Tool,1
215,18-Jun-15,Secret Service Agent to Plead Guilty for Silk Road Violations,1
216,17-Jun-15,Fantasy Bitcoin Stock Market Sand Hill Fined $20K By SEC,0
217,17-Jun-15,EBA: 51% Attack Remains Bitcoin’s Biggest Problem,0
218,17-Jun-15,Coinbase Launches Instant Bitcoin Buying and Selling,1
219,16-Jun-15,Bitcoin Exchange Kraken Launches New Dark Pool,1
220,16-Jun-15,Erik Voorhees: BitLicense Requires 'Reckless' Data Collection,1
221,16-Jun-15,Kleiner Perkins Taps Bitcoin Startup Founder for $4 Million Investment Fund,1
222,23-Jun-15,FBI: Recent Bitcoin Ransomware Losses Top $18 Million,1
223,23-Jun-15,Bitreserve Names New CEO in Leadership Shift,1
224,25-Jun-15,"BitFury Taps Ex-CFTC Chair, Bitcoin Core Developer as Advisors",1
225,25-Jun-15,Blythe Masters Firm Acquires Two Blockchain Startups,1
226,25-Jun-15,"Coinplug Wins $45,000 Prize for Blockchain ID Service",1
227,25-Jun-15,FTC Warns Consumers of Bitcoin Shopping Risks,1
228,24-Jun-15,Blockchain Startup Raises $2 Million for Intellectual Property Solution,1
229,24-Jun-15,Overstock Reports Over $100k in Crypto Losses for Q1 2015,0
230,24-Jun-15,NY Bitcoin Businesses Now Have 45 Days to Apply for BitLicense,1
231,29-Oct-17,"$6,300: Bitcoin Price Hits Record High",0
232,28-Jun-15,How Can Bitcoin Businesses Bridge the Gap With Insurers?,0
233,27-Jun-15,How Bitcoin's Technology Could Reshape Our Medical Experiences,0
234,26-Jun-15,Bitcoin Opportunity Corp Backs Mexican Exchange Bitso,1
235,26-Jun-15,Ex-Coinbase Compliance Exec: Basic Questions Still Hold Back Bitcoin,1
236,26-Jun-15,Kid-Friendly Minecraft Server Launches Bitcoin Economy,1
237,26-Jun-15,FATF: Regulate Virtual Currency Exchanges to Counter Crime Risks,1
238,26-Jun-15,RBS Trials Ripple as Part of £3.5 Billion Tech Revamp,0
239,26-Jun-15,BitMoby's Bitcoin Top-Up Service Wins IT Award,1
240,25-Jun-15,Bitcoin Poker Site Operator to Plead Guilty on Gaming Charge,1
241,25-Jun-15,Goldman Sachs Survey: Most Millennials Won't Use Bitcoin,1
242,25-Jun-15,Chain CEO: Nasdaq Partnership is No PR Stunt,1
243,2-Jul-15,How Ascribe Uses Bitcoin Tech to Help Underserved Artists,0
244,1-Nov-17,A More User-Friendly Bitcoin Market? OpenBazaar Version 2.0 Is Here,1
245,1-Nov-17,Bitcoin Cash Outlook Improves as Traders Greet New Code Release,1
246,1-Nov-17,ZoKrates Seeks to Bring Best of Zcash to Ethereum with Devcon Debut,0
247,1-Nov-17,British Telecom Awarded Patent for Blockchain Security Method,0
248,1-Nov-17,Swaziland Central Bank Governor: It's 'Not Wise' to Dismiss Cryptocurrency,1
249,1-Nov-17,Startup Wickr Hints at Vision for Blockchain in Private Messaging,1
250,9-Jul-15,Visa: Bitcoin Has a Future in Payments,0
251,9-Jul-15,Former WSJ Reporter to Advise MIT Media Lab on Bitcoin,1
252,9-Jul-15,Jersey Asks Public How it Should Regulate Bitcoin,1
253,9-Jul-15,New Tool Lets Bitcoin Firms 'Ring Fence' Customer Funds,0
254,8-Jul-15,Do Bitcoin Startups Stand a Chance in Argentina?,1
255,8-Jul-15,Uber Denies Plans to Accept Bitcoin Payments,1
256,8-Jul-15,MovieTickets CEO: Bitcoin Has Boosted Sales and Visibility,1
257,8-Jul-15,Japan's Answer to Quora Announces Bitcoin Tipping Scheme,1
258,17-Oct-17,"BNP, EY Complete Blockchain Trial for Internal Treasury Operations",1
259,17-Mar-17,Zcash Launches Non-Profit Foundation to Advance Adoption,1
260,17-Mar-17,Bitcoin Exchanges Unveil Hard Fork Contingency Plan,1
261,17-Mar-17,Ethereum's Price Surge is Sparking Institutional Investor Interest,1
262,17-Mar-17,The Trump Administration is Buying Into Blockchain Tech,0
263,19-Oct-17,Sweden's Government Sold Bitcoin Today At Above Market Rates,0
264,9-Feb-16,Linux Foundation-Led Blockchain Project Grows to 30 Members,0
265,9-Feb-16,US Bankruptcy Court Set to Weigh in on Bitcoin's Currency Status,1
266,9-Feb-16,Why Microsoft Wants 'Every Blockchain' on its Azure Platform,1
267,8-Feb-16,Inside Earthport's Bid to Push Banks Past Blockchain R&D,0
268,27-Oct-17,Cyprus Securities Regulator Trials Blockchain Oversight in OTC Markets,0
269,27-Oct-17,Can Blockchain Save Us from the Internet's Original Sin?,1
270,27-Oct-17,"Bull Exhaustion? Bitcoin Price Halts Advance Ahead of $6,000",1
271,17-Jun-15,BTC.sx Rebrands as Magnr in Bitcoin Savings Account Launch,1
272,16-Jun-15,Reveal Raises $1.5 Million for Crypto-Powered Social Network,0
273,16-Jun-15,Gyft Unveils New Tech for Blockchain-Powered Gift Cards,0
274,16-Jun-15,Santander: Blockchain Tech Can Save Banks $20 Billion a Year,0
275,15-Jul-15,Has the Greek Crisis Increased Bitcoin Awareness?,1
276,15-Jul-15,Blockchain Investment Firm Coinsilium to IPO in London,1
277,15-Jul-15,Hardware Vulnerability 'Could Compromise Bitcoin Private Keys',1
278,14-Jul-15,North Carolina Senate Committee Advances Bitcoin Bill,0
279,23-Jun-15,Tango Card Adds Bitcoin as Latest Reward Option,1
280,23-Jun-15,Bitcoin Network Survives Surprise Stress Test,0
281,23-Jun-15,Blockchain Capital Raises $7 Million for Startup Fund,0
282,23-Jun-15,DEA Agent Makes Plea Deal in Silk Road Corruption Case,1
283,22-Jun-15,Bitcoin Poker Operator to Face Nevada Court on Gaming Charge,1
284,22-Jun-15,Barclays Trials Bitcoin Tech With Pilot Program,0
285,21-Jun-15,BitAngels' Michael Terpin on the 'Long Road Ahead' for Bitcoin,1
286,20-Jun-15,Ben Parker: Bitcoin Has Potential in Fragile States,1
287,19-Jun-15,"Bitcoin in the Headlines: Sex, 'Dope' and Greek Tragedy",1
288,19-Jun-15,Blockstrap Launches Blockchain Workshop Series for Beginners,1
289,19-Jun-15,Canadian Senate Panel Calls for 'Light Touch' Bitcoin Regulation,1
290,21-Jul-15,South Africa's Internet Giant Leads $4 Million Raise for BitX,1
291,24-Jun-15,"Deal Brings Bitcoin Option to Over 20,000 Japanese Retailers",1
292,24-Jun-15,Crypto Processor Vogogo Nets $12.5 Million in New Financing,0
293,24-Jul-15,Bitcoin in the Headlines: Blockchain Drumbeat Grows Louder,0
294,24-Jul-15,Winklevoss Brothers File Trust Application for Gemini Exchange,1
295,24-Jul-15,DigitalBTC Buys $10.1 Million in Bitcoin Despite Losses,1
296,24-Jul-15,ShoCard's Quest to Secure Identity on the Blockchain,1
297,23-Jul-15,Meet the Kenyan Startup Trying to Change Bill Gates' Mind on Bitcoin,0
298,23-Jul-15,Fed Official Outlines Bitcoin Risks for Community Banks,1
299,23-Jul-15,Survey: 47% of Finance Pros Say Firms Exploring Blockchain Tech,0
300,23-Jul-15,Customer Data Leaked in Possible Bitcoin Vendor Breach,1
301,31-Jul-15,You May Soon Get Bitcoin-Bought Cannabis Delivered by Drone,1
302,7-Jul-15,Blockchain Offers Alpha Users First Look at New Bitcoin Wallet,1
303,2-Jul-15,Brazilian Congressman Calls for Hearing on Bitcoin Regulation,1
304,2-Jul-15,Former Silk Road DEA Agent Pleads Guilty to Bitcoin Theft,1
305,2-Jul-15,Coinfloor Launches Broker-Based UK Bitcoin Marketplace,1
306,1-Jul-15,Details of $5 Million Bitstamp Hack Revealed,0
307,1-Jul-15,Singapore Central Bank Funds Blockchain Recordkeeping Project,1
308,1-Jul-15,Silicon Valley Bank: UK Should Regulate Digital Currency Firms,0
309,1-Jul-15,French Bitcoin Startups Back FinTech Trade Group,1
310,1-Jul-15,Blythe Masters Joins Digital Currency Advocacy Group as Advisor,0
311,1-Nov-17,Understanding Segwit2x: Why Bitcoin's Next Fork Might Not Mean Free Money,0
312,31-Oct-17,London Stock Exchange Exec: Fiat Cash Impeding Blockchain Trials,0
313,31-Oct-17,SEC Alleges Day Trader Used Bitcoin to Hide Fraud Profits,1
314,31-Oct-17,"Survey: Younger Americans More Interested in Cryptocurrencies, ICOs",1
315,17-Mar-17,4 Ways Blockchain Can Disrupt Civic Traditions,1
316,17-Mar-17,"Bitcoin Price Support Weakens in Dip Below $1,200",1
317,19-Oct-17,Attorney General Jeff Sessions: Bitcoin on Dark Web 'Is a Big Problem',0
318,19-Oct-17,Inspector General: US Mint Should Consider Bitcoin's Impact,1
319,19-Oct-17,Jaguar-Backed Blockchain Startup Completes $6 Million ICO,1
320,19-Oct-17,Chinese Search Giant Baidu Joins Hyperledger Blockchain Consortium,0
321,8-Feb-16,Bitcoin Group Stock Exchange Debut Delayed Again,1
322,16-Jun-15,Bitcoin Mining Pool BTC Guild to Close Over BitLicense Concerns,1
323,15-Jun-15,MovieTickets.com Brings Bitcoin to Over 900 US Movie Theaters,1
324,15-Jun-15,Bitcoin Exchange MonetaGo Launches in 40 Countries,1
325,15-Jun-15,Swiss Crypto Community Reacts to Bitcoin's VAT Exemption,1
326,14-Jun-15,Bitcoin Ownership and its Impact on Fungibility,1
327,13-Jun-15,Did Mathematician John Nash Help Invent Bitcoin?,0
328,12-Jun-15,US Treasury: Bitcoin's Use in Funding Terrorism 'Unclear',1
329,13-Jul-15,"Bitcoin Price Surpasses $300, Drops After Greek Bailout",1
330,12-Jul-15,Would an Encryption Ban Kill the UK's Bitcoin Businesses?,1
331,11-Jul-15,How Blockchain Tech Will Change Auditing for Good,0
332,10-Jul-15,VC Firm Block26 Makes First Bitcoin Bet on Airbitz Wallet,1
333,14-Jul-15,Russian President Vladimir Putin Addresses Digital Currency,0
334,14-Jul-15,Standard Chartered Exec Touts Blockchain Tech for Trade Finance,0
335,14-Jul-15,Deloitte Explores Blockchain Tech for Client Auditing,0
336,14-Jul-15,Poll: What Will Bitcoin's Price be at the End of 2015?,1
337,20-Jul-15,Event Highlights Bitcoin-China Real Estate Connection,1
